Datetime,CPU
2023-04-05 00:48:04,False
2023-04-05 00:48:05,False
2023-04-05 00:48:06,False
2023-04-05 00:48:07,False
2023-04-05 00:48:08,False
2023-04-05 00:48:09,False
2023-04-05 00:48:10,False
2023-04-05 00:48:11,False
2023-04-05 00:48:12,False
2023-04-05 00:48:13,False
2023-04-05 00:48:14,False
2023-04-05 00:48:15,False
2023-04-05 00:48:16,False
2023-04-05 00:48:17,False
2023-04-05 00:48:18,False
2023-04-05 00:48:19,False
2023-04-05 00:48:20,False
2023-04-05 00:48:21,False
2023-04-05 00:48:22,False
2023-04-05 00:48:23,False
2023-04-05 00:48:24,False
2023-04-05 00:48:25,False
2023-04-05 00:48:26,False
2023-04-05 00:48:27,False
2023-04-05 00:48:28,False
2023-04-05 00:48:29,False
2023-04-05 00:48:30,False
2023-04-05 00:48:31,False
2023-04-05 00:48:32,False
2023-04-05 00:48:33,False
2023-04-05 00:48:34,False
2023-04-05 00:48:35,False
2023-04-05 00:48:36,False
2023-04-05 00:48:37,False
2023-04-05 00:48:38,False
2023-04-05 00:48:39,False
2023-04-05 00:48:40,False
2023-04-05 00:48:41,False
2023-04-05 00:48:42,False
2023-04-05 00:48:43,False
2023-04-05 00:48:44,False
2023-04-05 00:48:45,False
2023-04-05 00:48:46,False
2023-04-05 00:48:47,False
2023-04-05 00:48:48,False
2023-04-05 00:48:49,False
2023-04-05 00:48:50,False
2023-04-05 00:48:51,False
2023-04-05 00:48:52,False
2023-04-05 00:48:53,False
2023-04-05 00:48:54,False
2023-04-05 00:48:55,False
2023-04-05 00:48:56,False
2023-04-05 00:48:57,False
2023-04-05 00:48:58,False
2023-04-05 00:48:59,False
2023-04-05 00:49:00,False
2023-04-05 00:49:01,False
2023-04-05 00:49:02,False
2023-04-05 00:49:03,False
2023-04-05 00:49:04,False
2023-04-05 00:49:05,False
2023-04-05 00:49:06,False
2023-04-05 00:49:07,False
2023-04-05 00:49:08,False
2023-04-05 00:49:09,False
2023-04-05 00:49:10,False
2023-04-05 00:49:11,False
2023-04-05 00:49:12,False
2023-04-05 00:49:13,False
2023-04-05 00:49:14,False
2023-04-05 00:49:15,False
2023-04-05 00:49:16,False
2023-04-05 00:49:17,False
2023-04-05 00:49:18,False
2023-04-05 00:49:19,False
2023-04-05 00:49:20,False
2023-04-05 00:49:21,False
2023-04-05 00:49:22,False
2023-04-05 00:49:23,False
2023-04-05 00:49:24,False
2023-04-05 00:49:25,False
2023-04-05 00:49:26,False
2023-04-05 00:49:27,False
2023-04-05 00:49:28,False
2023-04-05 00:49:29,False
2023-04-05 00:49:30,False
2023-04-05 00:49:31,False
2023-04-05 00:49:32,False
2023-04-05 00:49:33,False
2023-04-05 00:49:34,False
2023-04-05 00:49:36,False
2023-04-05 00:49:37,False
2023-04-05 00:49:38,False
2023-04-05 00:49:39,False
2023-04-05 00:49:40,False
2023-04-05 00:49:41,False
2023-04-05 00:49:42,False
2023-04-05 00:49:43,False
2023-04-05 00:49:44,False
2023-04-05 00:49:45,False
2023-04-05 00:49:46,False
2023-04-05 00:49:47,False
2023-04-05 00:49:48,False
2023-04-05 00:49:49,False
2023-04-05 00:49:50,False
2023-04-05 00:49:51,False
2023-04-05 00:49:52,False
2023-04-05 00:49:53,False
2023-04-05 00:49:54,False
2023-04-05 00:49:55,False
2023-04-05 00:49:56,False
2023-04-05 00:49:57,False
2023-04-05 00:49:58,False
2023-04-05 00:49:59,False
2023-04-05 00:50:00,False
2023-04-05 00:50:01,False
2023-04-05 00:50:02,False
2023-04-05 00:50:03,False
2023-04-05 00:50:04,False
2023-04-05 00:50:05,False
2023-04-05 00:50:06,False
2023-04-05 00:50:07,False
2023-04-05 00:50:08,False
2023-04-05 00:50:09,False
2023-04-05 00:50:10,False
2023-04-05 00:50:11,False
2023-04-05 00:50:12,False
2023-04-05 00:50:13,False
2023-04-05 00:50:14,False
2023-04-05 00:50:15,False
2023-04-05 00:50:16,False
2023-04-05 00:50:17,False
2023-04-05 00:50:18,False
2023-04-05 00:50:19,False
2023-04-05 00:50:20,False
2023-04-05 00:50:21,False
2023-04-05 00:50:22,False
2023-04-05 00:50:23,False
2023-04-05 00:50:24,False
2023-04-05 00:50:25,False
2023-04-05 00:50:26,False
2023-04-05 00:50:27,False
2023-04-05 00:50:28,False
